City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,emerald,AU,2021-11-12 23:57:08,-23.5333,148.1667,71.74,37,55,14.97
123,dunda,TZ,2021-11-12 23:57:08,-8.1167,34.25,69.94,50,78,2.01
124,sao joao da barra,IN,2021-11-12 23:57:08,20.5113,76.2129,64.63,62,71,4.94
125,nantucket,US,2021-11-12 23:56:57,41.2835,-70.0995,62.04,92,100,23.69
126,marfino,RU,2021-11-12 23:57:09,55.7028,37.3822,40.28,87,75,15.66
127,arraial do cabo,BR,2021-11-12 23:57:09,-22.8362,-46.646,60.21,85,96,14.41
128,igatpuri,IN,2021-11-12 23:57:09,19.7,73.55,65.52,41,84,6.85
129,kanker,IN,2021-11-12 23:57:10,20.2719,81.4931,69.51,98,99,2.68
130,radcliff,US,2021-11-12 23:57:10,37.8404,-85.9491,46.78,82,90,4.0
131,namibe,AO,2021-11-12 23:57:10,-15.1961,12.1522,67.96,89,11,5.35
132,tocache,PE,2021-11-12 23:57:11,-8.1842,-76.5125,71.94,97,98,0.6
133,mirpur bathoro,PK,2021-11-12 23:57:11,33.1489,73.7552,57.42,33,0,4.12
134,tsabong,BW,2021-11-12 23:57:11,-26.0217,22.401,76.21,18,1,10.22
135,eirunepe,BR,2021-11-12 23:57:11,-6.6603,-69.8736,73.22,97,100,2.1
136,agadez,NE,2021-11-12 23:57:12,19.75,10.25,75.72,17,89,5.64
137,urumqi,CN,2021-11-12 23:57:12,43.801,87.6005,20.35,74,0,2.24
138,bethel,US,2021-11-12 23:57:12,41.3712,-73.414,56.91,91,40,0.0
